a_1_student_id,a_2_gender,a_3_class_group,average_course_evaluation_rating,sentiment,text,clean_text,dominant_topic,topic_label,topic_probability
81,Female,Group C,4.6364,positive,AI Forecasting The many course materials and coursework that helped deepen understanding,forecasting many course material coursework helped deepen understanding,4,"Topic 5: lab, module, work, depth",0.8653520618324548
82,Male,Group B,4.6364,positive,No Practical Application in NVDIA stock .,practical application nvdia stock,3,"Topic 4: topic, lab, data, practical",0.7958638936942425
83,Male,Group B,2.9091,negative,I think everything was covered The lec planned his lessons really well The notes were descriptive enough to understand the unit Maybe try lessen some of the notes.,think everything covered lec planned lesson really well note descriptive enough understand unit maybe try lessen note,1,"Topic 2: content, slide, work, group",0.8376701995989719
84,Male,Group B,4.6364,positive,none none content delivery / further reading documents none as for now,none none content delivery reading document none,1,"Topic 2: content, slide, work, group",0.7989466175001846
85,Male,Group B,3.9091,neutral,"No idea No idea Lab work data analysis docker,apis Less assignments makes the unit hectic",idea idea lab work data analysis docker apis less assignment make unit hectic,3,"Topic 4: topic, lab, data, practical",0.8298727717082783
86,Female,Group B,4.4545,neutral,i have none tto suggest none standard to my career path the teaching was okay,none tto suggest none standard career path teaching okay,3,"Topic 4: topic, lab, data, practical",0.48726968554857686
87,Female,Group B,5.0,positive,The work was well explained and I understood it. The notebooks were good way to learn the implementation.,work well explained understood notebook good way learn implementation,4,"Topic 5: lab, module, work, depth",0.8992433261491236
88,Male,Group B,4.4545,neutral,Dashboarding should be taught in Business Intelligence II than I Regression should be removed from BI I The lecturer explained extensively all the topics and guided during the lab assignments. More of lab tutorials,dashboarding taught business intelligence regression removed lecturer explained extensively topic guided lab assignment lab tutorial,0,"Topic 1: lab, taught, assignment, concept",0.46932359952866337
89,Female,Group B,4.0,neutral,"I don't have any recommendations. Not removed, but made easier to learn is data engineering, especially using Docker. I liked the end-of-module quizzes and the lab assignments To have the end of topic journals",recommendation removed made easier learn data engineering especially using docker liked end module quiz lab assignment end topic journal,3,"Topic 4: topic, lab, data, practical",0.9556741071979469
90,Male,Group B,4.7273,positive,Data Sciece none Course delivery by the lecturer the way we separate theory and practical classes More introduction to new Tools and softwares.,data sciece none course delivery lecturer way separate theory practical class introduction new tool software,3,"Topic 4: topic, lab, data, practical",0.843506587941765
91,Female,Group B,5.0,positive,None at the moment None all were relevant The course was taught extensively The course allowed me to have hands on experience through lab work None at the moment,none moment none relevant course taught extensively course allowed hand experience lab work none moment,0,"Topic 1: lab, taught, assignment, concept",0.925758477153686
92,Female,Group B,4.6364,positive,Sijui classes start and end on time The lectures are well taught I have none,sijui class start end time lecture well taught none,3,"Topic 4: topic, lab, data, practical",0.6980789357616561
93,Male,Group B,4.9091,positive,"Transformers should be added as a separate focused topic. None. I enjoyed the labs and the quizzes Some of the tools did not run properly on school laptops, If this could be addressed for all future students, it would greatly improve the unit reception.",transformer added separate focused topic none enjoyed lab quiz tool run properly school laptop could addressed future student would greatly improve unit reception,3,"Topic 4: topic, lab, data, practical",0.9327075739032525
94,Male,Group B,3.1818,negative,"Deep learning, Ethical AI and Data Governance, Cloud-Based BI Tools and Platforms Emphasis on Hands-on Projects, Integration of Business Context Replace a traditional final exam or large individual project with a team-based capstone project where students treat an instructor-provided dataset/scenario as a client request",deep learning ethical data governance cloud based tool platform emphasis hand project integration business context replace traditional final exam large individual project team based capstone project student treat instructor provided dataset scenario client request,0,"Topic 1: lab, taught, assignment, concept",0.6425669237293989
95,Male,Group B,4.6364,positive,connecting BI with cloud such as AWS R notebooks The balance between theory and practical lab sessions. The instructor’s clear explanations. Include more project-based assessments or group case studies using real business datasets,connecting cloud aws notebook balance theory practical lab session instructor clear explanation include project based assessment group case study using real business datasets,3,"Topic 4: topic, lab, data, practical",0.95961804561979
96,Female,Group B,4.0,neutral,Power BI as a module Group work and communication The slides were lengthy,power module group work communication slide lengthy,1,"Topic 2: content, slide, work, group",0.8642626499336611
97,Female,Group B,2.6364,negative,none nonr it was interesting he’s so strict,none nonr interesting strict,1,"Topic 2: content, slide, work, group",0.5995926417748538
98,Female,Group B,3.6364,negative,"integration of BI tools with cloud platforms (such as AWS, Azure, or Google Cloud) real-world BI case studies and Power BI dashboard storytelling. None necessarily need to be removed The practical approach by using different tools like Docker and Power BI, made it easier to connect theory with application. The course helped me identify areas I can apply Business Intelligence in the future A better way of communicating theory.. sometimes the content is too much making it too much information to process and understand at once",integration tool cloud platform aws azure google cloud real world case study power dashboard storytelling none necessarily need removed practical approach using different tool like docker power made easier connect theory application course helped identify area apply business intelligence future better way communicating theory sometimes content much making much information process understand,3,"Topic 4: topic, lab, data, practical",0.9633689512577501
99,Female,Group B,4.5455,neutral,I can't think of any All topics were relevant Lecture slides and lab instructions Use some classes to summarize/revise the topic in addition to the quizzes atleast have a class discussion where students are free to ask questions abt the completed topic and get more clarification and better understanding especially for labs,think topic relevant lecture slide lab instruction use class summarize revise topic addition quiz atleast class discussion student free ask question abt completed topic get clarification better understanding especially lab,3,"Topic 4: topic, lab, data, practical",0.9583633624496747
100,Female,Group B,4.2727,neutral,More topics related to R and power BI Involvement in learning and practice with the lab works More assignments and quizzes for more active engagement with the unit,topic related power involvement learning practice lab work assignment quiz active engagement unit,3,"Topic 4: topic, lab, data, practical",0.9260554310907217
101,Male,Group B,3.4545,negative,"none none Separation of theory and practical subject between online and physical classes respectively, gides through practical labs Less software-intensive alternatives, (e.g avoiding using applications like Docker)",none none separation theory practical subject online physical class respectively gide practical lab less software intensive alternative avoiding using application like docker,3,"Topic 4: topic, lab, data, practical",0.9324012573364436
102,Male,Group B,4.2727,neutral,No not really No not really The practical exercises and assignments helped me apply theoretical concepts to real-world scenarios. To be honest the lesson and lectures everything went smoothly,really really practical exercise assignment helped apply theoretical concept real world scenario honest lesson lecture everything went smoothly,0,"Topic 1: lab, taught, assignment, concept",0.5035239206207426
103,Female,Group B,3.0909,negative,none SML Models the lab assignments and the reflective journal i don't have any recommendations,none sml model lab assignment reflective journal recommendation,0,"Topic 1: lab, taught, assignment, concept",0.8840874461350434
104,Male,Group B,4.0909,neutral,I have no input. I feel like they all contributed adequately enough I liked the emphasis on practical understanding. Mr. Omondi is very dedicated to delivering the content well which I appreciate. Reduce the number of slides in BI 1 lecture notes. Most of them are inflated to be honest but the number of slides can be demoralizing to a student. If there is a way to reduce the number of slides while still maintaining the content it will positively impact the students of the future.,input feel like contributed adequately enough liked emphasis practical understanding omondi dedicated delivering content well appreciate reduce number slide lecture note inflated honest number slide demoralizing student way reduce number slide still maintaining content positively impact student future,1,"Topic 2: content, slide, work, group",0.49974901680526485
105,Male,Group B,2.0,negative,Interesting,interesting,1,"Topic 2: content, slide, work, group",0.5995926417748538
106,Male,Group B,2.9091,negative,none The group work labs and the lecture slides It would be better for lecturers to take students through labs in a clearer way by simplifying the steps or give explanations on why this should be done and the impact. This is because one would finish the lab without understanding the true objective or how to apply it.,none group work lab lecture slide would better lecturer take student lab clearer way simplifying step give explanation done impact one would finish lab without understanding true objective apply,3,"Topic 4: topic, lab, data, practical",0.9511333692560489
107,Male,Group B,4.3636,neutral,There was room for further research and group work So far so good,room research group work far good,1,"Topic 2: content, slide, work, group",0.8654871136001849
108,Male,Group B,3.5455,negative,. Advanced Analytics & Visualization Why: Visualization tools are now gateways to storytelling and insight generation. I liked the lab work and the assignments review More reviewing of the lab work to ensure proper understanding to the students,advanced analytics visualization visualization tool gateway storytelling insight generation liked lab work assignment review reviewing lab work ensure proper understanding student,3,"Topic 4: topic, lab, data, practical",0.9459587110472311
109,Male,Group B,4.4545,neutral,"The topics are detailed, i don't have any so far All are fine, nothing should be removed Detailed content in this unit Labs that are helpful When it comes to specializations in 4th year, the knowledge on BI should be readily available to students before the said year. This will help them have a rough idea of what the unit is about.",topic detailed far fine nothing removed detailed content unit lab helpful come specialization year knowledge readily available student said year help rough idea unit,3,"Topic 4: topic, lab, data, practical",0.9492631059010636
110,Male,Group B,4.3636,neutral,"Mathematics for Machine Learning. The DataOps philosophy Enjoyed the detailed lab manuals and practical sessions. The detailed notes in each topic and diagrams. Better integration of Slack in the workflow (i.e utilizing it in labs, etc).",mathematics machine learning dataops philosophy enjoyed detailed lab manual practical session detailed note topic diagram better integration slack workflow utilizing lab etc,3,"Topic 4: topic, lab, data, practical",0.9420021468197652
111,Male,Group B,4.0,neutral,none none time series how it helps in business corporations using IT less notes,none none time series help business corporation using less note,3,"Topic 4: topic, lab, data, practical",0.8847238092638781
112,Male,Group B,3.8182,negative,"Topics dealing with trading, understanding of different type of markets and blockchain None not topics. The in-depth explanations. The lab manuals on the topics being covered More real world referencing",topic dealing trading understanding different type market blockchain none topic depth explanation lab manual topic covered real world referencing,3,"Topic 4: topic, lab, data, practical",0.9372882082303706
113,Male,Group B,4.2727,neutral,"MCP AI Agents I enjoyed the practical aspect of the teaching, especially the labs and group work for each module. I enjoyed the fact that we have access to the notes from early so you can read ahead and/or follow along in class. I enjoyed the fact that labs were group based and we had ample time to do them. I think reflections should be graded once at the end of the semester or at least 1 week following the end of the module to give students enough time to thoroughly reflect on the content.",mcp agent enjoyed practical aspect teaching especially lab group work module enjoyed fact access note early read ahead follow along class enjoyed fact lab group based ample time think reflection graded end semester least week following end module give student enough time thoroughly reflect content,3,"Topic 4: topic, lab, data, practical",0.9714686809214597
114,Male,Group B,3.6364,negative,Cloud-Based Business Intelligence I liked the labs they were engaging and learned a little bit of python I liked the that lecture slides were consise for BI 2 I would recommend more on considering students and placing dealines that one can submit late but not extremely late and not being given mising marks even if they did the work.,cloud based business intelligence liked lab engaging learned little bit python liked lecture slide consise would recommend considering student placing dealines one submit late extremely late given mising mark even work,3,"Topic 4: topic, lab, data, practical",0.9520993845833162
115,Male,Group B,2.9091,negative,I have none to suggest they are all okay 1. I liked the labs we did 2. The quality of teaching shorter lecture notes,none suggest okay liked lab quality teaching shorter lecture note,3,"Topic 4: topic, lab, data, practical",0.9095095411769567
116,Female,Group B,4.2727,neutral,Not topics but atleast making the notes abit more shorter that BI I The lecturer and the unit itself,topic atleast making note abit shorter lecturer unit,3,"Topic 4: topic, lab, data, practical",0.7769623433547198
117,Female,Group B,2.8182,negative,"I have none in mind, was thoroughly content with the topics I learnt during this course unit. None; I think all the topics were necessary in understanding the foundation and application of business intelligence. I enjoyed my own personal studying of the course unit, that is, the research that I had to do trying to understand the concepts in the course. I enjoyed the lab work as well; it helped in gaining better understanding of the application of the concepts learnt in class. Having better structured slides that are detailed in a simple manner for better understanding, the current slides make the topics seem so complicated when it's not, also they are not very dependable when doing revision which is a bummer!!!",none mind thoroughly content topic learnt course unit none think topic necessary understanding foundation application business intelligence enjoyed personal studying course unit research trying understand concept course enjoyed lab work well helped gaining better understanding application concept learnt class better structured slide detailed simple manner better understanding current slide make topic seem complicated also dependable revision bummer,3,"Topic 4: topic, lab, data, practical",0.896696631483037
118,Male,Group B,4.7273,positive,Learned how businesses use data to drive their operations. Make the course more hands on,learned business use data drive operation make course hand,3,"Topic 4: topic, lab, data, practical",0.8845971533932728
119,Male,Group B,4.2727,neutral,I dont think any I feel some should be discussed more or given more in depth for proper understanding The lecturer made sure ylu understand before proceeding The end quizzes were a good way of remembering what we covered On the journals ... im having an issue with the lecturer viewimg my work... hence im not being graded ... maybe to find a way to make that more seemless ... cause ive raised the issue and theres a lot of friction in it being handled,dont think feel discussed given depth proper understanding lecturer made sure ylu understand proceeding end quiz good way remembering covered journal issue lecturer viewimg work hence graded maybe find way make seemless cause ive raised issue there lot friction handled,4,"Topic 5: lab, module, work, depth",0.8717511353076506
120,Male,Group B,4.7273,positive,I have no reservations on this I have no reservations on this I having practical labs to use real world tools and data to put the concepts I learn in class into practice. I enjoyed how practical examples where used to try and explain complex BI concepts. I have no reservations on this,reservation reservation practical lab use real world tool data put concept learn class practice enjoyed practical example used try explain complex concept reservation,3,"Topic 4: topic, lab, data, practical",0.8164941492026628
121,Female,Group C,4.1818,neutral,"Add more topics on Artificial Intelligence and how it integrates with Business Intelligence None actually since the current topics are relevant and useful. The teaching was clear and engaging, and the examples made the lessons easy to understand as well as the engaging quizzes and lab works . I would probably recommend that more practical case studies or projects to apply BI concepts in real world scenarios should be included",add topic artificial intelligence integrates business intelligence none actually since current topic relevant useful teaching clear engaging example made lesson easy understand well engaging quiz lab work would probably recommend practical case study project apply concept real world scenario included,3,"Topic 4: topic, lab, data, practical",0.9168989315622771
122,Female,Group B,3.0,negative,The lab works were very important At least to assist in the lab works especially before submission,lab work important least assist lab work especially submission,1,"Topic 2: content, slide, work, group",0.48962548083790464
123,Female,Group B,3.8182,negative,Maybe Deep Learning the data engineering (with Docker) I liked the quizzes and The BI2 topics. Be more step by step for practical and also the number of slides,maybe deep learning data engineering docker liked quiz topic step step practical also number slide,1,"Topic 2: content, slide, work, group",0.9458919814119211
124,Male,Group C,4.9091,positive,Computer Vision Mode of content delivery and practical lab exercises More individual assignments,computer vision mode content delivery practical lab exercise individual assignment,1,"Topic 2: content, slide, work, group",0.8967329114438028
125,Female,Group C,4.8182,positive,N/a N/a The lab work and reflective journal after each module and the way concepts were taught N/a,lab work reflective journal module way concept taught,4,"Topic 5: lab, module, work, depth",0.6180308544915791
126,Female,Group C,5.0,positive,Doing the labwork and learning new concepts We should have done a power BI certification,labwork learning new concept done power certification,4,"Topic 5: lab, module, work, depth",0.7433557591665659
127,Female,Group C,3.3636,negative,Regression Ml modelling,regression modelling,1,"Topic 2: content, slide, work, group",0.5986188299669855
128,Male,Group C,4.2727,neutral,No opinion on the matter No opinion on the matter Incredibly detailed. No opinion on the matter,opinion matter opinion matter incredibly detailed opinion matter,3,"Topic 4: topic, lab, data, practical",0.8395063811449436
129,Male,Group A,4.3636,neutral,"Data Governance and Ethics Straight forward content Deep dive knowledge of the content Reduce the number of lecture slides, some content can be placed on 1 or two pages.",data governance ethic straight forward content deep dive knowledge content reduce number lecture slide content placed two page,1,"Topic 2: content, slide, work, group",0.9381061612668052
130,Female,Group A,4.0,neutral,I don't have any in mind the practical enabled me to understand the concept being taught Have more labs where we are having one on one with the lecturer especially APIs,mind practical enabled understand concept taught lab one one lecturer especially apis,2,"Topic 3: concept, understand, lecturer, lab",0.9198227862105977
